,go,pv,k,n,N,genes
166,GO_MYELOID_LEUKOCYTE_ACTIVATION,4.306949709608516e-30,128,338,1035,ACTR2;ADGRE3;ADORA2B;AIF1;ALDOA;ALOX5;ARL8A;ASAH1;ATP6AP2;CAP1;CCT2;CD14;CD300LF;CD53;CD63;CD68;CD74;CDA;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DCSTAMP;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPI;GUSB;HAVCR2;HEXB;HK3;HMOX1;HSPD1;HVCN1;IDH1;IL10;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LCP2;LGALS3;LGALS9;LILRA2;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;MT1G;NCSTN;NEU1;NPC2;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLEKHO2;PLSCR1;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;S100A11;S100A9;SERPINA1;SIRPA;SIRPB1;SPI1;SYK;TLR4;TOM1;TREM2;VAMP7;VPS35L
246,GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,1.6088487875351968e-26,114,303,1035,ACTR2;ADGRE3;ADORA2B;ALDOA;ALOX5;ARL8A;ASAH1;ATP6AP2;CAP1;CCT2;CD14;CD53;CD63;CD68;CDA;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPI;GUSB;HEXB;HK3;HMOX1;HVCN1;IDH1;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LGALS3;LGALS9;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;NCSTN;NEU1;NPC2;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLEKHO2;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;S100A11;S100A9;SERPINA1;SIRPA;SIRPB1;SYK;TOM1;VAMP7;VPS35L
399,GO_VACUOLE,6.580868659820776e-26,133,391,1035,ACP5;ACTR2;AKR1B1;ANXA11;AP1B1;AP3B1;AP3M1;AP5B1;ARL8A;ARL8B;ASAH1;ASS1;ATP6AP2;ATP6V0B;ATP6V1A;ATP6V1B2;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H;BECN1;BLOC1S2;BORCS5;CAP1;CCT2;CD164;CD63;CD68;CD74;CDC42;CEACAM6;CFTR;CLTC;CMTM6;CPPED1;CREG1;CSPG5;CTSA;CTSB;CTSD;CTSL;CTSS;CXCR2;DAB2;DLD;DNASE2;FTH1;FTL;FUCA1;GABARAP;GBA;GCA;GDI2;GLA;GM2A;GNAI3;GNS;GOT1;GPR137B;GUSB;HEXB;HLA-DMA;HLA-DMB;HLA-DPA1;HPS1;KCNQ1;KPTN;LAMP2;LAMTOR5;LAPTM5;LITAF;LPCAT1;LTV1;LYN;M6PR;MAGT1;MAN2B1;MAP1LC3B;MCOLN1;MILR1;MMD;NAPA;NCF2;NCF4;NCOA4;NCSTN;NEU1;NPC1;NPC2;NSF;P2RX4;PA2G4;PADI2;PI4K2A;PIK3CG;PIP4K2A;PIP4K2C;PLA2G15;PPT1;PRDX6;PSAP;PSEN1;PSMD1;RAB27A;RAB38;RAB7A;RAB9A;RAP1B;RHEB;RNF13;RPN2;SLC15A3;SLC17A5;SLC29A3;SLC35F6;SLC3A2;SLC66A1;SNX2;SQSTM1;SRGN;STARD3NL;STX8;TMEM192;TMEM199;TMEM9B;TOM1;TPP1;UBQLN1;VAC14;VAMP7;VPS26A;VTI1B;YWHAB
122,GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1.808430116682465e-25,126,363,1035,ACTR2;ADGRE3;ADORA2B;ALDOA;ALOX5;ARL8A;ASAH1;ATP6AP2;CAP1;CCT2;CD14;CD53;CD63;CD68;CDA;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPI;GUSB;HAVCR2;HEXB;HK3;HLA-DMB;HMOX1;HSPD1;HVCN1;IDH1;IL10;IL27RA;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LCP1;LGALS3;LGALS9;LILRA2;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;MLH1;NCSTN;NEU1;NPC2;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLCG2;PLEKHO2;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;S100A11;S100A9;SEMA4A;SERPINA1;SIRPA;SIRPB1;SYK;TLR4;TOM1;TREM2;VAMP7;VPS35L
88,GO_LEUKOCYTE_MEDIATED_IMMUNITY,4.166182362667676e-24,131,397,1035,ACTR2;ADGRE3;ADORA2B;ALDOA;ALOX5;ARL8A;ARRB2;ASAH1;ATP6AP2;C4BPA;CAP1;CCT2;CD14;CD53;CD63;CD68;CD74;CDA;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CRTAM;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DUSP22;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPI;GUSB;HAVCR2;HEXB;HFE;HK3;HMOX1;HPRT1;HSPD1;HVCN1;IDH1;IL10;IL27RA;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LGALS3;LGALS9;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;MLH1;NCSTN;NEU1;NPC2;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLEKHO2;PRDX1;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;RIPK3;S100A11;S100A9;SCIMP;SERPINA1;SIRPA;SIRPB1;SYK;TLR4;TOM1;VAMP7;VPS35L;WAS
390,GO_SECRETORY_GRANULE,1.5700319932995149e-22,128,397,1035,ABCC4;ACTR2;ADGRE3;ALDOA;ALOX5;ANXA11;ANXA7;ARL8A;ASAH1;ATP6AP2;CAP1;CCT2;CD14;CD53;CD63;CD68;CDA;CDC42;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DLD;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FERMT3;FGB;FTH1;FTL;FUCA1;GARS1;GCA;GCG;GDI2;GLA;GM2A;GMFG;GNAI3;GNS;GPI;GUSB;HEXB;HILPDA;HK3;HSPD1;HVCN1;IDH1;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LGALS3;LPCAT1;LRG1;MAGT1;MAN2B1;NCF2;NCSTN;NEU1;NPC2;OLA1;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PLAU;PLAUR;PLEKHO2;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAP1A;RAP1B;RHOA;RHOG;RNPEP;S100A11;S100A9;SERPINA1;SFTPA2;SIRPA;SIRPB1;SLIRP;SRGN;TMED2;TMSB4X;TOM1;VAMP7;VDAC2;VPS35L;VTI1B
325,GO_EXOCYTOSIS,4.59882256504603e-22,138,449,1035,ABCC4;ACTR2;ADGRE3;ADORA2B;ALDOA;ALOX5;ANXA5;ARHGAP17;ARL8A;ASAH1;ATP6AP1;ATP6AP2;CAP1;CCR1;CCT2;CD14;CD53;CD63;CD68;CDA;CEACAM6;CFP;CFTR;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSPG5;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FERMT3;FGB;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPI;GUSB;HABP4;HEXB;HK3;HMOX1;HVCN1;IDH1;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LGALS3;LGALS9;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MANF;MILR1;NAPA;NCSTN;NEU1;NPC2;NSF;OLA1;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLEK;PLEKHO2;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB25;RAB27A;RAB7A;RAB9A;RAC2;RAP1A;RAP1B;RHOA;RHOG;S100A11;S100A9;SCFD2;SERPINA1;SIRPA;SIRPB1;SRGN;STAM;STX1B;SYK;TMSB4X;TOM1;TSG101;VAMP7;VPS35L;VTI1B
381,GO_IMMUNE_EFFECTOR_PROCESS,1.6453067736457857e-21,158,554,1035,ABCE1;ACTR2;ACTR3;ADGRE3;ADORA2B;AEN;ALDOA;ALOX5;ARL8A;ARPC2;ARPC3;ARPC4;ARRB2;ASAH1;ATP6AP2;BECN1;BRK1;C4BPA;CAP1;CCT2;CD14;CD22;CD53;CD63;CD68;CD74;CDA;CDC42;CEACAM6;CFP;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CRTAM;CSNK2B;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DUSP22;DYNC1LI1;ERP44;FCER1G;FCGR1A;FCGR2A;FCN1;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNS;GPAM;GPI;GRB2;GUSB;HAVCR2;HEXB;HFE;HK3;HLA-DMB;HMOX1;HPRT1;HSPD1;HVCN1;IDH1;IFIT5;IL10;IL10RB;IL27RA;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LCP1;LGALS3;LGALS9;LILRA2;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;MLH1;NCSTN;NEU1;NPC2;NPLOC4;OSCAR;OSTF1;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLCG2;PLEKHO2;PLSCR1;POLR3C;PRDX1;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;RIPK3;S100A11;S100A9;SCIMP;SELENOK;SEMA4A;SERPINA1;SIRPA;SIRPB1;SYK;TLR4;TOM1;TREM2;UFD1;VAMP7;VPS35L;WAS;WIPF1
73,GO_CELL_ACTIVATION,1.1359132483238413e-20,166,605,1035,ACTR2;ADGRE3;ADORA2B;AIF1;ALDOA;ALOX5;AP3B1;ARL8A;ARRB2;ASAH1;ATP6AP2;BAX;CAP1;CBFB;CCT2;CD14;CD22;CD300LF;CD53;CD63;CD68;CD74;CDA;CDC42;CDKN1A;CEACAM6;CEBPB;CFP;CLEC5A;CLIC1;CMTM6;CMTM7;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CSNK2B;CSTB;CTPS1;CTSA;CTSB;CTSD;CTSS;CXCR2;DCSTAMP;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DUSP22;DUSP3;DYNC1LI1;ERP44;FCER1G;FCGR2A;FCN1;FERMT3;FGB;FTH1;FTL;FUCA1;GCA;GDI2;GLA;GM2A;GMFG;GNA15;GNS;GPAM;GPI;GRB2;GUSB;HAVCR2;HEXB;HFE;HK3;HLA-DMB;HLA-DPA1;HMOX1;HPRT1;HSPD1;HVCN1;IDH1;IL10;IL27RA;ILF2;IQGAP1;KCMF1;KPNB1;LAMP2;LCP1;LCP2;LGALS3;LGALS9;LILRA2;LILRA5;LPCAT1;LRG1;LYN;MAGT1;MAN2B1;MILR1;MLH1;MT1G;NCSTN;NEU1;NPC2;OSCAR;OSTF1;P2RX4;PA2G4;PADI2;PAK2;PGM2;PIK3CG;PLAU;PLAUR;PLCG2;PLEK;PLEKHO2;PLSCR1;PRDX1;PRDX6;PRNP;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB27A;RAB7A;RAC2;RAP1A;RAP1B;RHOA;RHOG;RIPK3;RPS6KA1;S100A11;S100A9;SELENOK;SEMA4A;SERPINA1;SH3KBP1;SIRPA;SIRPB1;SPI1;SYK;TLR4;TOM1;TREM2;VAMP7;VPS35L;WAS
121,GO_SECRETION,2.885705918238281e-20,183,700,1035,ABCB4;ABCC4;ACTR2;ADGRE3;ADORA2B;AIF1;ALDOA;ALOX5;ANXA5;ARHGAP17;ARL8A;ASAH1;ATP6AP1;ATP6AP2;CANX;CAP1;CCR1;CCT2;CD14;CD22;CD53;CD63;CD68;CD74;CDA;CEACAM6;CFP;CFTR;CKLF;CLEC5A;CMTM6;COMMD9;COPB1;COTL1;CPPED1;CR1;CREG1;CRTAM;CSNK2B;CSPG5;CSTB;CTSA;CTSB;CTSD;CTSS;CXCR2;CYB5R4;DEGS1;DERA;DIAPH1;DNASE1L1;DOCK2;DOK3;DYNC1LI1;ENSA;ERP44;FCER1G;FCGR2A;FCN1;FERMT3;FGB;FTH1;FTL;FUCA1;GCA;GCG;GDI2;GLA;GLS2;GM2A;GMFG;GNS;GPAM;GPI;GUSB;HABP4;HAVCR2;HEXB;HFE;HK2;HK3;HMOX1;HVCN1;IDH1;IL10;IL1RN;IL27RA;ILF2;IQGAP1;KCMF1;KCNQ1;KMO;KPNB1;LAMP2;LCP2;LGALS3;LGALS9;LILRA2;LILRA5;LPCAT1;LRG1;LYN;M6PR;MAGT1;MAN2B1;MANF;MCTP1;MILR1;MPC2;MTX1;NADK;NAPA;NCSTN;NDUFAF2;NEU1;NME1;NPC2;NSF;OLA1;OSCAR;OSTF1;P2RX4;PA2G4;PADI2;PGM2;PIK3CG;PLAU;PLAUR;PLEK;PLEKHO2;PPARD;PPP1R11;PPT1;PRDX6;PSAP;PSEN1;PSMA5;PSMB1;PSMB7;PSMC2;PSMD1;PSMD11;PSMD13;PSMD14;PSMD7;PYGL;RAB10;RAB25;RAB27A;RAB7A;RAB9A;RAC2;RAP1A;RAP1B;RHOA;RHOG;S100A11;S100A9;SCFD2;SELENOK;SELENOT;SERPINA1;SIRPA;SIRPB1;SLC1A5;SRGN;STAM;STX1B;SYK;TANGO2;TANGO6;TLR4;TMEM38B;TMSB4X;TOM1;TREM2;TSG101;UPRT;USE1;VAMP7;VDR;VPS35L;VTI1B
