,go,pv,k,n,N,genes
2,GO_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION,0.00016192438664762134,5,15,284,CCL5;DHX29;IMPACT;NCK1;UHMK1
31,GO_PHOSPHOLIPID_BINDING,0.0001834506683831197,16,152,284,AIDA;APPL1;ARFIP1;BPIFC;CETP;CHMP3;CPNE3;HMGB1;MTM1;OSBPL8;PIGK;RPS6KC1;RS1;SH3YL1;SNX24;SNX6
21,GO_GOLGI_MEMBRANE,0.0002964770760809077,27,350,284,ARFIP1;ARL1;B3GNT2;C1GALT1;GALNT5;GLCE;GOLGA5;GOLGA7;HS2ST1;IER3IP1;ITM2B;LEPROT;MANEA;NDFIP1;PJA2;RAB6A;RNF175;SCAMP1;SLC10A7;SLC30A6;SLC35A5;TMBIM4;TMEM167A;TMEM167B;TMEM87A;VAMP3;YIPF6
14,GO_GOLGI_VESICLE_TRANSPORT,0.00042732738773525295,17,180,284,ARL1;BCAP29;DCTN4;DYNC1I2;EPS15;EXOC2;EXOC6;GOLGA5;GOLGA7;IER3IP1;RAB6A;SCAMP1;SLC10A7;STX17;UVRAG;VAMP3;ZW10
24,GO_PHOSPHATIDYLINOSITOL_BINDING,0.00043576549129177534,11,88,284,AIDA;APPL1;ARFIP1;MTM1;OSBPL8;PIGK;RPS6KC1;RS1;SH3YL1;SNX24;SNX6
18,GO_CELLULAR_MACROMOLECULE_LOCALIZATION,0.0004758332439236551,54,917,284,APPL1;ARFIP1;ARL1;ARL2BP;ARL5A;BCAP29;BNIP3L;CAMK1;CDC40;CHM;CSE1L;DDX1;EPS15;GOLGA7;GPD1L;IMMP2L;IPO8;LAMTOR3;LARS1;LEPROT;MOAP1;NRP1;OSBPL8;PAX6;PECR;PID1;PIGK;POT1;PPP2R5A;PPP3R1;RAB5B;RAB6A;RABL3;RAD21;RANBP6;RB1;SEC62;SEL1L;SGTB;SNX6;SP100;STOM;STX17;STYX;TBC1D15;TBCK;TLK1;TM9SF3;TMEM30A;UHMK1;VAMP3;XPA;XPOT;ZW10
50,GO_INTERFERON_ALPHA_SECRETION,0.0005015661619644955,3,5,284,DDX58;HMGB1;IFIH1
1,GO_POTASSIUM_ION_HOMEOSTASIS,0.0005015661619644955,3,5,284,SLC12A5;SLC12A8;UPK3A
32,GO_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING,0.000771042582990802,4,12,284,ARFIP1;OSBPL8;RS1;SNX24
44,GO_TYPE_I_INTERFERON_SECRETION,0.0009751514508671157,3,6,284,DDX58;HMGB1;IFIH1
