ensembl_id	k=5	k=6	k=7	k=8	k=9	k=10	k=11	k=12	k=13	k=14	k=15	k=16	k=17	k=18	k=19	k=20
ENSG00000000938	3	3	4	4	5	5	5	5	5	5	5	5	6	6	6	7
ENSG00000001036	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000001461	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
ENSG00000001626	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	5
ENSG00000001631	4	4	5	5	6	7	7	8	9	9	9	9	10	10	10	11
ENSG00000002016	4	4	5	5	6	6	6	6	7	7	7	7	8	8	8	9
ENSG00000002330	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000002745	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
ENSG00000002822	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000002834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000002919	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000003056	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	4
ENSG00000003147	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
ENSG00000003400	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	6
ENSG00000003436	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	6
ENSG00000003509	4	4	5	5	6	7	7	8	9	9	9	9	10	10	10	11
ENSG00000003756	4	4	5	5	6	7	7	8	9	9	9	9	10	10	10	11
ENSG00000004059	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000004139	5	6	7	7	8	9	10	11	12	12	13	14	15	15	16	17
ENSG00000004142	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000004455	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000004478	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000004534	4	4	5	5	6	7	7	8	9	9	9	9	10	10	10	11
ENSG00000004766	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	6
ENSG00000004777	4	4	5	5	6	7	7	8	9	9	9	9	10	10	10	11
ENSG00000004809	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
ENSG00000004864	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
ENSG00000004866	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000004948	4	4	5	5	6	6	6	6	7	7	7	7	8	8	8	9
ENSG00000004961	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	4
ENSG00000005001	5	5	6	6	7	8	9	10	11	11	11	12	13	13	14	15
ENSG00000005020	3	3	4	4	5	5	5	5	5	5	5	5	6	6	6	7
ENSG00000005022	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000005075	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000005156	5	5	6	6	7	8	9	10	11	11	11	12	13	13	14	15
ENSG00000005175	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
ENSG00000005194	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000005206	4	4	5	5	6	7	7	7	8	8	8	8	9	9	9	10
ENSG00000005238	3	3	4	4	5	5	5	5	6	6	6	6	7	7	7	8
